pleiades_id,en,zh,source,note
# 中文译名对照表 / Chinese place-name table
#
# 用法：每行一个地点。pleiades_id 为准，en 仅供人工核对。
#   pleiades_id  Pleiades 地名 id（地图以此为准，必填）
#   en           英文/拉丁转写（人工核对用，程序不依赖）
#   zh           中文译名（可用 / 分隔多个异译，第一个为首选）
#   source       译名来源，例如：徐松岩《历史》索引 / 徐松岩《伯罗奔尼撒战争史》 /
#                徐松岩《希腊史》 / 通用 / 待核
#   note         备注，可留空
#
# 以 # 开头的行会被忽略。source 留空或标「待核」的条目会在运行时提示。
#
# 内容：Pleiades id 与中文地名的对照。译名取自徐松岩译本索引（事实性对应），
# 不包含译本正文或注释文字。Wikidata 行为 CC0。
501409,Edones,埃多尼斯,Wikidata,Q3719711 · 5 mention(s)
716520,Ammon,锡瓦绿洲/西瓦綠洲,Wikidata,Q2008735 · 5 mention(s)
639137,Telmessos,忒耳墨索斯,Wikidata,Q1145385 · 5 mention(s)
531155,Zacynthus (island),扎金苏斯,徐松岩《历史》2018修订本索引,岛屿，在希腊西部
226800,Tyras/Ophioussa,泰拉斯,徐松岩《历史》2018修订本索引,
226603,Gerros (river),莫洛奇纳河,Wikidata,Q1513565 · 5 mention(s)
540744,Dryopes,德律俄珀斯國,Wikidata,Q11917781 · 5 mention(s)
894056,Opis,奥皮斯,徐松岩《历史》2018修订本索引,(1）城镇，在亚述
501520,Myrkinos,米尔金努斯,徐松岩《历史》2018修订本索引,
531117,Thesprotia,塞斯普罗蒂亞人,Wikidata,Q2551754 · 5 mention(s)
501439,Imbros (island),音不洛斯,徐松岩《历史》2018修订本索引,岛屿，在爱琴海东北部
845013,Mariandynoi,瑪利安杜尼亞人,Wikidata,Q6762088 · 4 mention(s)
462489,Selinus,塞林努斯,徐松岩《历史》2018修订本索引,西西里一城市
462306,Mazara (river),馬扎羅河,Wikidata,Q3849227 · 4 mention(s)
501646,Torone,托伦涅,徐松岩《历史》2018修订本索引,城市，在卡尔基狄克的希松尼亚半岛上 克里托布鲁斯
857321,Sinope,锡诺普,徐松岩《历史》2018修订本索引,
922693,Pasargadae/Batrakatash,帕萨加第人,徐松岩《历史》2018修订本索引,波斯人一部落 巴德列斯
491534,Axios (river),阿克修斯,徐松岩《历史》2018修订本索引,河流
589886,Kydonia,库多尼亚,徐松岩《历史》2018修订本索引,城镇，在克里特
462244,Himera,希麦拉,徐松岩《历史》2018修订本索引,西西里一城邦 其统治者被驱逐
266076,Turia (river),图里亚河,Wikidata,Q20118 · 3 mention(s)
570640,Pylos/Koryphasion,派罗斯,徐松岩《历史》2018修订本索引,（1）在美塞尼亚
570756,Troizen,特洛伊會,徐松岩《历史》2018修订本索引,城市，在阿尔戈利斯，哈利卡纳苏斯的母邦 42：
727156,Mendes,门德斯,Wikidata,Q1427162 · 3 mention(s)
501468,Kikones,cicones,Wikidata,Q1108464 · 3 mention(s)
59818,Gandaris,健驮逻国/建驮罗,Wikidata,Q213651 · 3 mention(s)
501524,Nestos (river),奈斯托斯河/梅斯塔河,Wikidata,Q193904 · 3 mention(s)
599795,Melie/Karion,居泽尔恰姆勒,Wikidata,Q223392 · 3 mention(s)
550575,Hermus (river),赫尔姆斯,徐松岩《历史》2018修订本索引,河流，在吕底亚，流经萨迪斯附近
570402,Kythnos,基斯诺斯岛,Wikidata,Q739779 · 3 mention(s)
511225,Daskyleion,达斯库里乌姆/達斯庫里烏姆,Wikidata,Q1171924 · 3 mention(s)
857177,Kabeira/Neocaesarea/Diospolis/Sebaste/Hadriane,尼克萨尔,Wikidata,Q513980 · 2 mention(s)
540737,Dolopia,多洛皮亞,Wikidata,Q776988 · 2 mention(s)
511354,Parium/Col. Gemella Iulia *Hadriana,帕里昂,徐松岩《历史》2018修订本索引,城镇，在赫勒斯滂 帕里昂的赫洛凡图斯
599832,Nysa/Athymbra,涅薩,Wikidata,Q1779332 · 2 mention(s)
540817,Histiaia/Hestiaia,希斯提埃亚,徐松岩《历史》2018修订本索引,城市，在优波亚岛北部
638811,Colossae,科洛塞,徐松岩《历史》2018修订本索引,城市，在弗里吉亚
550556,Gygaia/Koloe/Talaimenis (lake),居盖亚,徐松岩《历史》2018修订本索引,（1）居基斯的湖，在吕底亚
697725,Petra,佩特拉,徐松岩《历史》2018修订本索引,科林斯的一个德莫或者地区
668340,Posideion,波西代昂,徐松岩《历史》2018修订本索引,（1）叙利亚一城镇，在和奇里乞亚交界处
550794,Pactolus (river),帕克托勒斯河,Wikidata,Q923929 · 2 mention(s)
501432,Hebros (river),赫布鲁斯,徐松岩《历史》2018修订本索引,河流，在色雷斯
638996,Milyas (region),米利亚,Wikidata,Q28195245 · 2 mention(s)
511189,Bithynia (region),比提尼亞/底推尼,Wikidata,Q373189 · 2 mention(s)
599593,Didyma/Branchidai/Ioustinianopolis,迪迪玛,徐松岩《历史》2018修订本索引,米利都一座阿波
462202,Eryx (mountain),爱利克斯,徐松岩《历史》2018修订本索引,在西西里西部
501393,Dardanos,达尔达努斯,徐松岩《历史》2018修订本索引,城镇，在赫勒斯滂
550944,Troas (region),特洛阿德/特洛德,Wikidata,Q2454671 · 2 mention(s)
570281,Helike,赫里克,徐松岩《历史》2018修订本索引,阿凯亚人一城镇，位于科林斯湾
383698,Liguria (region),利古里亚大区,Wikidata,Q1256 · 2 mention(s)
438670,Allia (river),阿里亚河,Wikidata,Q369581 · 2 mention(s)
579954,Hymettos,海麦图斯,徐松岩《历史》2018修订本索引,
570612,Pisa,皮萨,徐松岩《历史》2018修订本索引,城镇，在爱利斯
158698879,Kynosarges,快犬,Wikidata,Q940907 · 2 mention(s)
541141,Thespiai,Thespiae城/特斯皮埃,Wikidata,Q1141295 · 2 mention(s)
216717,Athrys/Iatros/Ieterus (river),阿特利斯,徐松岩《历史》2018修订本索引,伊斯特河的一条支流
246418,(H)Iberus (river),埃布羅河/埃布罗河,Wikidata,Q10965 · 1 mention(s)
256145,Cuneus (promontory),圣玛利亚角,Wikidata,Q5015746 · 1 mention(s)
952076,Daoi/Dahae,大益,Wikidata,Q852554 · 1 mention(s)
580044,Oropos,奥罗浦斯,徐松岩《历史》2018修订本索引,在阿提卡
570723,Therapne,铁拉普涅,Wikidata,Q15940498 · 1 mention(s)
579858,Alopeke,阿罗裴克/阿洛佩克,Wikidata,Q2839314 · 1 mention(s)
580119,Thorikos,索里科斯,Wikidata,Q353184 · 1 mention(s)
570479,Messene,麦萨那,徐松岩《历史》2018修订本索引,城镇，在西西里
570318,Ithome (mountain),伊托姆山/伊索姆山,Wikidata,Q602538 · 1 mention(s)
599693,Karyanda,卡里安达,Wikidata,Q4893908 · 1 mention(s)
550692,Leleges,勒勒吉人,徐松岩《历史》2018修订本索引,卡里亚人的旧称
599754,Lebedos/Ptolemais,列别都斯,徐松岩《历史》2018修订本索引,伊奥尼亚人的城镇，在吕底亚
599808,Mykonos (island),米科诺斯岛,Wikidata,Q190210 · 1 mention(s)
541108,Skyros (settlement),斯基罗斯,徐松岩《历史》2018修订本索引,爱琴海一岛屿，在优波亚之东
541112,Spercheios,斯伯凯乌斯,徐松岩《历史》2018修订本索引,河流，在马里斯，德摩比利附近
540837,Iolkos,伊奥尔科斯,徐松岩《历史》2018修订本索引,城镇，色萨利人把它赠予流亡的希皮亚斯
540968,Oeta (mountain),奥耶塔,徐松岩《历史》2018修订本索引,山，在德摩比利以南
638753,Aphrodisias,阿芙洛蒂西亚斯,徐松岩《历史》2018修订本索引,岛屿，在利比亚附近
639042,Patara/Arsinoe,帕塔拉,徐松岩《历史》2018修订本索引,城市，在吕基亚
511187,Bisanthe/Rhaidestos,比桑特,徐松岩《历史》2018修订本索引,城镇，在赫勒斯滂沿岸
501556,Perkote,伯科特,徐松岩《历史》2018修订本索引,赫勒斯滂地区一城市
727236,Tanis,塔尼斯/坦尼斯,Wikidata,Q210598 · 1 mention(s)
